dataset_name,year,title,variable_name,label,concept,predicateType,group,limit,attributes,decade
cbp,1986,1986 County Business Patterns: Business Patterns,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,GEO_TTL,Title of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,ST,FIPS State Code,Selectable Geographies,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,SIC_TTL,Title of SIC code,CBP County Level Variables,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,EMP,Total Number of Employees,Employer Statistics,int,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,SIC,SIC Industry Code,CBP County Level Variables,string,N/A,1106,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,GEO_ID,ID of Geography,Geographic Characteristics,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,GEOTYPE,Geography type,Selectable Geographies,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,YEAR,Year,Employer Statistics,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,ESTAB,Total number of Establishments,Employer Statistics,int,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,PAYANN,Total Annual Payroll,Employer Statistics,int,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,EMPSZES,Employment size of establishment,Employer Statistics,string,N/A,14,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,PROGRAM,PROGRAM,CBP County Level Variables,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,EMP_F,Flag for Number of employees,Employer Statistics,string,N/A,0,,1980s
cbp,1986,1986 County Business Patterns: Business Patterns,COUNTY,FIPS County Code,Selectable Geographies,,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for,N/A,0,,1980s
cbp,1987,1987 County Business Patterns: Business Patterns,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in,N/A,0,,1980s
