ReferenceDate,GeographyLevel,GeographyHierarchy,Limit,SurveyID
,01,us,1.0,CBP1986
,02,state,51.0,CBP1986
,03,state› county,255.0,CBP1986
,01,us,1.0,CBP1987
,02,state,51.0,CBP1987
,03,state› county,255.0,CBP1987
,01,us,1.0,CBP1988
,02,state,51.0,CBP1988
,03,state› county,255.0,CBP1988
,01,us,1.0,CBP1989
,02,state,51.0,CBP1989
,03,state› county,255.0,CBP1989
2001-01-01,040,state,,CPSBASIC198904
2001-01-01,040,state,,CPSBASIC198908
2001-01-01,040,state,,CPSBASIC198912
2001-01-01,040,state,,CPSBASIC198902
2001-01-01,040,state,,CPSBASIC198901
2001-01-01,040,state,,CPSBASIC198907
2001-01-01,040,state,,CPSBASIC198906
2001-01-01,040,state,,CPSBASIC198903
2001-01-01,040,state,,CPSBASIC198905
2001-01-01,040,state,,CPSBASIC198911
2001-01-01,040,state,,CPSBASIC198910
2001-01-01,040,state,,CPSBASIC198909
,01,us,1.0,CBP1990
,02,state,51.0,CBP1990
,03,state› county,255.0,CBP1990
2001-01-01,040,state,,CPSBASIC199004
2001-01-01,040,state,,CPSBASIC199008
2001-01-01,040,state,,CPSBASIC199012
2001-01-01,040,state,,CPSBASIC199002
2001-01-01,040,state,,CPSBASIC199001
2001-01-01,040,state,,CPSBASIC199007
2001-01-01,040,state,,CPSBASIC199006
2001-01-01,040,state,,CPSBASIC199003
2001-01-01,040,state,,CPSBASIC199005
2001-01-01,040,state,,CPSBASIC199011
2001-01-01,040,state,,CPSBASIC199010
2001-01-01,040,state,,CPSBASIC199009
1990-01-01,050,state› county,,POPESTintercensalcharagegroups1990
2001-01-01,040,state,,SIPP1990COREV1
2001-01-01,040,state,,SIPP1990COREV2
2001-01-01,040,state,,SIPP1990COREV3
2001-01-01,040,state,,SIPP1990COREV4
2001-01-01,040,state,,SIPP1990COREV5
2001-01-01,040,state,,SIPP1990COREV6
2001-01-01,040,state,,SIPP1990COREV7
2001-01-01,040,state,,SIPP1990COREV8
2001-01-01,040,state,,SIPP1990TOPICALV2
2001-01-01,040,state,,SIPP1990TOPICALV3
2001-01-01,040,state,,SIPP1990TOPICALV4
2001-01-01,040,state,,SIPP1990TOPICALV6
2001-01-01,040,state,,SIPP1990TOPICALV7
2001-01-01,040,state,,SIPP1990TOPICALV8
2001-01-01,040,state,,SIPP1990TOPICALEDV5
2001-01-01,040,state,,SIPP1990TOPICALRESV5
,01,us,1.0,CBP1991
,02,state,51.0,CBP1991
,03,state› county,255.0,CBP1991
2001-01-01,040,state,,CPSBASIC199104
2001-01-01,040,state,,CPSBASIC199108
2001-01-01,040,state,,CPSBASIC199112
2001-01-01,040,state,,CPSBASIC199102
2001-01-01,040,state,,CPSBASIC199101
2001-01-01,040,state,,CPSBASIC199107
2001-01-01,040,state,,CPSBASIC199106
2001-01-01,040,state,,CPSBASIC199103
2001-01-01,040,state,,CPSBASIC199105
2001-01-01,040,state,,CPSBASIC199111
2001-01-01,040,state,,CPSBASIC199110
2001-01-01,040,state,,CPSBASIC199109
2001-01-01,040,state,,SIPP1991COREV1
2001-01-01,040,state,,SIPP1991COREV2
2001-01-01,040,state,,SIPP1991COREV3
2001-01-01,040,state,,SIPP1991COREV4
2001-01-01,040,state,,SIPP1991COREV5
2001-01-01,040,state,,SIPP1991COREV6
2001-01-01,040,state,,SIPP1991COREV7
2001-01-01,040,state,,SIPP1991COREV8
2001-01-01,040,state,,SIPP1991TOPICALV2
2001-01-01,040,state,,SIPP1991TOPICALV3
2001-01-01,040,state,,SIPP1991TOPICALV4
2001-01-01,040,state,,SIPP1991TOPICALV5
2001-01-01,040,state,,SIPP1991TOPICALV6
2001-01-01,040,state,,SIPP1991TOPICALV7
2001-01-01,040,state,,SIPP1991TOPICALEDV8
2001-01-01,040,state,,SIPP1991TOPICALRESV8
,01,us,1.0,CBP1992
,02,state,51.0,CBP1992
,03,state› county,255.0,CBP1992
2001-01-01,040,state,,CPSBASIC199204
2001-01-01,040,state,,CPSBASIC199208
2001-01-01,040,state,,CPSBASIC199212
2001-01-01,040,state,,CPSBASIC199202
2001-01-01,040,state,,CPSBASIC199201
2001-01-01,040,state,,CPSBASIC199207
2001-01-01,040,state,,CPSBASIC199206
2001-01-01,040,state,,CPSBASIC199203
2001-01-01,040,state,,CPSBASIC199205
2001-01-01,040,state,,CPSBASIC199211
2001-01-01,040,state,,CPSBASIC199210
2001-01-01,040,state,,CPSBASIC199209
2001-01-01,040,state,,SIPP1992COREV1
2001-01-01,040,state,,SIPP1992COREV2
2001-01-01,040,state,,SIPP1992COREV3
2001-01-01,040,state,,SIPP1992COREV4
2001-01-01,040,state,,SIPP1992COREV5
2001-01-01,040,state,,SIPP1992COREV6
2001-01-01,040,state,,SIPP1992COREV7
2001-01-01,040,state,,SIPP1992COREV8
