dataset_name,year,title,description,identifier,contact,access_level,modified,publisher,references,keywords
cps,1994,Jun 1994 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",https://api.census.gov/data/id/CPSBASIC199406,CPS Staff,public,2019-10-09 15:05:36.0,U.S. Census Bureau,https://www.census.gov/developers/,census
basic,1994,Jun 1994 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",https://api.census.gov/data/id/CPSBASIC199406,CPS Staff,public,2019-10-09 15:05:36.0,U.S. Census Bureau,https://www.census.gov/developers/,census
jun,1994,Jun 1994 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",https://api.census.gov/data/id/CPSBASIC199406,CPS Staff,public,2019-10-09 15:05:36.0,U.S. Census Bureau,https://www.census.gov/developers/,census
cbp,1986,1986 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/id/CBP1986,CBP Staff,public,2019-02-13,U.S. Census Bureau,http://www.census.gov/developers/,census
zbp,1994,1994 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"ZIP Code Business Patterns (ZBP) is an annual series that provides economic data by ZIP Code.  This table includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll for All Industries by 5-digit ZIP Code.  All Industries is set using SIC=00 from 1994 to 1997 and then with NAICS=00 from 1998 to present.",http://api.census.gov/data/id/ZBPTotal1994,CBP Staff,public,2018-01-25,U.S. Census Bureau,http://www.census.gov/developers/,census
cbp,1987,1987 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/id/CBP1987,CBP Staff,public,2019-02-13,U.S. Census Bureau,http://www.census.gov/developers/,census
cbp,1995,1995 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/id/CBP1995,CBP Staff,public,2019-02-13,U.S. Census Bureau,http://www.census.gov/developers/,census
cbp,1988,1988 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/id/CBP1988,CBP Staff,public,2019-02-13,U.S. Census Bureau,http://www.census.gov/developers/,census
cbp,1989,1989 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",http://api.census.gov/data/id/CBP1989,CBP Staff,public,2019-02-13,U.S. Census Bureau,http://www.census.gov/developers/,census
zbp,1995,1995 County Business Patterns - Zip Code Business Patterns: Total For Zip Code,"ZIP Code Business Patterns (ZBP) is an annual series that provides economic data by ZIP Code.  This table includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll for All Industries by 5-digit ZIP Code.  All Industries is set using SIC=00 from 1994 to 1997 and then with NAICS=00 from 1998 to present.",http://api.census.gov/data/id/ZBPTotal1995,CBP Staff,public,2018-01-25,U.S. Census Bureau,http://www.census.gov/developers/,census
