Title,Description,Vintage,Dataset Name,Dataset Type,Geography List,Variable List,Group List,SortList,Examples,Developer Documentation,API Base URL,Survey,Subtype1,Subtype2,Subtype3,Month,identifier,id_name,SurveyID,Has Example,Has Sort,Has Geography
1986 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",1986.0,cbp,Aggregate,http://api.census.gov/data/1986/cbp/geography.html,http://api.census.gov/data/1986/cbp/variables.html,http://api.census.gov/data/1986/cbp/groups.html,http://api.census.gov/data/1986/cbp/sorts.html,http://api.census.gov/data/1986/cbp/examples.html,http://www.census.gov/developer/,http://api.census.gov/data/1986/cbp,cbp,,,,,http://api.census.gov/data/id/CBP1986,CBP1986,CBP1986,Has Example,No Sort,Has Geography
1987 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",1987.0,cbp,Aggregate,http://api.census.gov/data/1987/cbp/geography.html,http://api.census.gov/data/1987/cbp/variables.html,http://api.census.gov/data/1987/cbp/groups.html,http://api.census.gov/data/1987/cbp/sorts.html,http://api.census.gov/data/1987/cbp/examples.html,http://www.census.gov/developer/,http://api.census.gov/data/1987/cbp,cbp,,,,,http://api.census.gov/data/id/CBP1987,CBP1987,CBP1987,Has Example,No Sort,Has Geography
1988 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",1988.0,cbp,Aggregate,http://api.census.gov/data/1988/cbp/geography.html,http://api.census.gov/data/1988/cbp/variables.html,http://api.census.gov/data/1988/cbp/groups.html,http://api.census.gov/data/1988/cbp/sorts.html,http://api.census.gov/data/1988/cbp/examples.html,http://www.census.gov/developer/,http://api.census.gov/data/1988/cbp,cbp,,,,,http://api.census.gov/data/id/CBP1988,CBP1988,CBP1988,Has Example,No Sort,Has Geography
1989 County Business Patterns: Business Patterns,"County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",1989.0,cbp,Aggregate,http://api.census.gov/data/1989/cbp/geography.html,http://api.census.gov/data/1989/cbp/variables.html,http://api.census.gov/data/1989/cbp/groups.html,http://api.census.gov/data/1989/cbp/sorts.html,http://api.census.gov/data/1989/cbp/examples.html,http://www.census.gov/developer/,http://api.census.gov/data/1989/cbp,cbp,,,,,http://api.census.gov/data/id/CBP1989,CBP1989,CBP1989,Has Example,No Sort,Has Geography
Apr 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›apr,Microdata,http://api.census.gov/data/1989/cps/basic/apr/geography.html,http://api.census.gov/data/1989/cps/basic/apr/variables.html,http://api.census.gov/data/1989/cps/basic/apr/groups.html,http://api.census.gov/data/1989/cps/basic/apr/sorts.html,http://api.census.gov/data/1989/cps/basic/apr/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/apr,cps,basic,,,Apr,https://api.census.gov/data/id/CPSBASIC198904,CPSBASIC198904,CPSBASIC198904,Has Example,No Sort,Has Geography
Aug 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›aug,Microdata,http://api.census.gov/data/1989/cps/basic/aug/geography.html,http://api.census.gov/data/1989/cps/basic/aug/variables.html,http://api.census.gov/data/1989/cps/basic/aug/groups.html,http://api.census.gov/data/1989/cps/basic/aug/sorts.html,http://api.census.gov/data/1989/cps/basic/aug/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/aug,cps,basic,,,Aug,https://api.census.gov/data/id/CPSBASIC198908,CPSBASIC198908,CPSBASIC198908,Has Example,No Sort,Has Geography
Dec 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›dec,Microdata,http://api.census.gov/data/1989/cps/basic/dec/geography.html,http://api.census.gov/data/1989/cps/basic/dec/variables.html,http://api.census.gov/data/1989/cps/basic/dec/groups.html,http://api.census.gov/data/1989/cps/basic/dec/sorts.html,http://api.census.gov/data/1989/cps/basic/dec/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/dec,cps,basic,,,Dec,https://api.census.gov/data/id/CPSBASIC198912,CPSBASIC198912,CPSBASIC198912,Has Example,No Sort,Has Geography
Feb 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›feb,Microdata,http://api.census.gov/data/1989/cps/basic/feb/geography.html,http://api.census.gov/data/1989/cps/basic/feb/variables.html,http://api.census.gov/data/1989/cps/basic/feb/groups.html,http://api.census.gov/data/1989/cps/basic/feb/sorts.html,http://api.census.gov/data/1989/cps/basic/feb/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/feb,cps,basic,,,Feb,https://api.census.gov/data/id/CPSBASIC198902,CPSBASIC198902,CPSBASIC198902,Has Example,No Sort,Has Geography
Jan 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›jan,Microdata,http://api.census.gov/data/1989/cps/basic/jan/geography.html,http://api.census.gov/data/1989/cps/basic/jan/variables.html,http://api.census.gov/data/1989/cps/basic/jan/groups.html,http://api.census.gov/data/1989/cps/basic/jan/sorts.html,http://api.census.gov/data/1989/cps/basic/jan/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/jan,cps,basic,,,Jan,https://api.census.gov/data/id/CPSBASIC198901,CPSBASIC198901,CPSBASIC198901,Has Example,No Sort,Has Geography
Jul 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›jul,Microdata,http://api.census.gov/data/1989/cps/basic/jul/geography.html,http://api.census.gov/data/1989/cps/basic/jul/variables.html,http://api.census.gov/data/1989/cps/basic/jul/groups.html,http://api.census.gov/data/1989/cps/basic/jul/sorts.html,http://api.census.gov/data/1989/cps/basic/jul/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/jul,cps,basic,,,Jul,https://api.census.gov/data/id/CPSBASIC198907,CPSBASIC198907,CPSBASIC198907,Has Example,No Sort,Has Geography
Jun 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›jun,Microdata,http://api.census.gov/data/1989/cps/basic/jun/geography.html,http://api.census.gov/data/1989/cps/basic/jun/variables.html,http://api.census.gov/data/1989/cps/basic/jun/groups.html,http://api.census.gov/data/1989/cps/basic/jun/sorts.html,http://api.census.gov/data/1989/cps/basic/jun/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/jun,cps,basic,,,Jun,https://api.census.gov/data/id/CPSBASIC198906,CPSBASIC198906,CPSBASIC198906,Has Example,No Sort,Has Geography
Mar 1989 Current Population Survey: Basic Monthly,"To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, and migration from the March Annual Demographic Supplement and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.",1989.0,cps›basic›mar,Microdata,http://api.census.gov/data/1989/cps/basic/mar/geography.html,http://api.census.gov/data/1989/cps/basic/mar/variables.html,http://api.census.gov/data/1989/cps/basic/mar/groups.html,http://api.census.gov/data/1989/cps/basic/mar/sorts.html,http://api.census.gov/data/1989/cps/basic/mar/examples.html,https://www.census.gov/developer/,http://api.census.gov/data/1989/cps/basic/mar,cps,basic,,,Mar,https://api.census.gov/data/id/CPSBASIC198903,CPSBASIC198903,CPSBASIC198903,Has Example,No Sort,Has Geography
