dataset_name,variable_name,label,concept,predicateType
cbp,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cbp,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cbp,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int
cbp,GEO_TTL,Title of Geography,Geographic Characteristics,Unknown
cbp,ST,FIPS State Code,Selectable Geographies,Unknown
cbp,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int
cbp,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string
cbp,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string
cbp,SIC_TTL,Title of SIC code,CBP County Level Variables,Unknown
cbp,EMP,Total Number of Employees,Employer Statistics,int
cbp,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string
cbp,SIC,SIC Industry Code,CBP County Level Variables,string
cbp,GEO_ID,ID of Geography,Geographic Characteristics,Unknown
cbp,GEOTYPE,Geography type,Selectable Geographies,Unknown
cbp,YEAR,Year,Employer Statistics,string
cbp,ESTAB,Total number of Establishments,Employer Statistics,int
cbp,PAYANN,Total Annual Payroll,Employer Statistics,int
cbp,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,Unknown
cbp,EMPSZES,Employment size of establishment,Employer Statistics,string
cbp,PROGRAM,PROGRAM,CBP County Level Variables,string
cbp,EMP_F,Flag for Number of employees,Employer Statistics,string
cbp,COUNTY,FIPS County Code,Selectable Geographies,Unknown
cbp,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cbp,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cbp,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int
cbp,GEO_TTL,Title of Geography,Geographic Characteristics,Unknown
cbp,ST,FIPS State Code,Selectable Geographies,Unknown
cbp,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int
cbp,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string
cbp,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string
cbp,SIC_TTL,Title of SIC code,CBP County Level Variables,Unknown
cbp,EMP,Total Number of Employees,Employer Statistics,int
cbp,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string
cbp,SIC,SIC Industry Code,CBP County Level Variables,string
cbp,GEO_ID,ID of Geography,Geographic Characteristics,Unknown
cbp,GEOTYPE,Geography type,Selectable Geographies,Unknown
cbp,YEAR,Year,Employer Statistics,string
cbp,ESTAB,Total number of Establishments,Employer Statistics,int
cbp,PAYANN,Total Annual Payroll,Employer Statistics,int
cbp,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,Unknown
cbp,EMPSZES,Employment size of establishment,Employer Statistics,string
cbp,PROGRAM,PROGRAM,CBP County Level Variables,string
cbp,EMP_F,Flag for Number of employees,Employer Statistics,string
cbp,COUNTY,FIPS County Code,Selectable Geographies,Unknown
cbp,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cbp,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cbp,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int
cbp,GEO_TTL,Title of Geography,Geographic Characteristics,Unknown
cbp,ST,FIPS State Code,Selectable Geographies,Unknown
cbp,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int
cbp,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string
cbp,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string
cbp,SIC_TTL,Title of SIC code,CBP County Level Variables,Unknown
cbp,EMP,Total Number of Employees,Employer Statistics,int
cbp,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string
cbp,SIC,SIC Industry Code,CBP County Level Variables,string
cbp,GEO_ID,ID of Geography,Geographic Characteristics,Unknown
cbp,GEOTYPE,Geography type,Selectable Geographies,Unknown
cbp,YEAR,Year,Employer Statistics,string
cbp,ESTAB,Total number of Establishments,Employer Statistics,int
cbp,PAYANN,Total Annual Payroll,Employer Statistics,int
cbp,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,Unknown
cbp,EMPSZES,Employment size of establishment,Employer Statistics,string
cbp,PROGRAM,PROGRAM,CBP County Level Variables,string
cbp,EMP_F,Flag for Number of employees,Employer Statistics,string
cbp,COUNTY,FIPS County Code,Selectable Geographies,Unknown
cbp,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cbp,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cbp,ESTAB_F,Flag for Total number of Establishments,Employer Statistics,int
cbp,GEO_TTL,Title of Geography,Geographic Characteristics,Unknown
cbp,ST,FIPS State Code,Selectable Geographies,Unknown
cbp,PAYQTR1,Total First Quarter Payroll,Employer Statistics,int
cbp,EMPSZES_TTL,Title of Employment size of establishment,Employer Statistics,string
cbp,PAYQTR1_F,Flag for Total First Quarter Payroll,Employer Statistics,string
cbp,SIC_TTL,Title of SIC code,CBP County Level Variables,Unknown
cbp,EMP,Total Number of Employees,Employer Statistics,int
cbp,PAYANN_F,Flag for Total Annual Payroll,Employer Statistics,string
cbp,SIC,SIC Industry Code,CBP County Level Variables,string
cbp,GEO_ID,ID of Geography,Geographic Characteristics,Unknown
cbp,GEOTYPE,Geography type,Selectable Geographies,Unknown
cbp,YEAR,Year,Employer Statistics,string
cbp,ESTAB,Total number of Establishments,Employer Statistics,int
cbp,PAYANN,Total Annual Payroll,Employer Statistics,int
cbp,MSA,Metropolitan/Micropolitan Statistical Area Code,Selectable Geographies,Unknown
cbp,EMPSZES,Employment size of establishment,Employer Statistics,string
cbp,PROGRAM,PROGRAM,CBP County Level Variables,string
cbp,EMP_F,Flag for Number of employees,Employer Statistics,string
cbp,COUNTY,FIPS County Code,Selectable Geographies,Unknown
cps/basic/apr,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cps/basic/apr,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cps/basic/apr,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid
cps/basic/apr,HG_FIPS,Geography-FIPS state code,,Unknown
cps/basic/apr,AXWHYNL,Labor Force-reasons not looking for work (allocation flag),,int
cps/basic/apr,A_UNTYPE,Labor Force-reason,,int
cps/basic/apr,H_TENURE,Household-tenure,,int
cps/basic/apr,AXWHYNA,Labor Force-why not (allocation flag),,int
cps/basic/apr,A_ENRLW,School Enrollment-enrolled/attending an inst. of educ.,,int
cps/basic/apr,HXLIVQRT,Household-living quarters (allocation flag),,int
cps/basic/apr,A_PFFTPT,Labor Force-full-time/part-time status,,int
cps/basic/apr,AXMAJACT,Labor Force-activities last week (allocation flag),,int
cps/basic/apr,A_AGE,Demographic-age,,int
cps/basic/apr,AXHSCOL,School Enrollment-institution (allocation flag),,int
cps/basic/apr,AXPARENT,Demographic-parent's line number (allocation flag),,int
cps/basic/apr,AXHGC,Allocation Flag for A_HGC,,int
cps/basic/apr,A_OCC,Indus.&Occ.-(main job)occupation code,,int
cps/basic/apr,A_FAMNUM,Demographic-family number,,int
cps/basic/apr,A_CLSWKR,Indus.&Occ.-class of worker,,int
cps/basic/apr,AXHGA,"Demographic-highest deg., grade completed (allocation flag)",,int
cps/basic/apr,A_HRSCHK,Labor Force-interviewer check,,int
cps/basic/apr,A_CHKWJ,Indus.&Occ.-interviewer check item,,int
cps/basic/apr,HG_CMSA,Geography-CMSA code,,int
cps/basic/apr,A_EXPLF,Labor Force-employment status,,int
cps/basic/apr,A_FTLF,Labor Force-f/t labor force,,int
cps/basic/apr,A_HRS1,Labor Force-total hours worked,,int
cps/basic/apr,AXUSLHRS,Earnings-hours/week worked (allocation flag),,int
cps/basic/apr,A_RACE,Demographic-race,,int
cps/basic/apr,A_MJOCC,Indus.&Occ.-major occupation code,,int
cps/basic/apr,A_OVRTIM,Labor Force-overtime worked,,int
cps/basic/apr,AXFTABS,Labor Force-hours worked/week (allocation flag),,int
cps/basic/apr,AXPAYABS,Labor Force-paid absences (allocation flag),,int
cps/basic/apr,H_ID,Household-unique household identifier,,string
cps/basic/apr,AXCLSWKR,Indus.&Occ.-class of worker (allocation flag),,int
cps/basic/apr,HXTELAVL,Household-telephone available (allocation flag),,int
cps/basic/apr,AXVET,Demographic-veteran status (allocation flag),,int
cps/basic/apr,HXHHNUM,Household-household number (allocation flag),,int
cps/basic/apr,A_USLFT,Labor Force-hours usually worked/week,,int
cps/basic/apr,A_WKSCH,Labor Force-time worked/lost,,int
cps/basic/apr,A_HSCOL,School Enrollment-institution,,int
cps/basic/apr,A_PFREL,Demographic-primary family relationship,,int
cps/basic/apr,AXRACE,Demographic-race (allocation flag),,int
cps/basic/apr,A_ANYWK,Labor Force-work,,int
cps/basic/apr,A_EMP,Labor Force-employed persons,,int
cps/basic/apr,H_TIMINT,Household-time of interview,,int
cps/basic/apr,AXWKSLK,Labor Force-number of weeks laid off (allocation flag),,int
cps/basic/apr,H_TYPINT,Household-type interview,,int
cps/basic/apr,AXMTHD,Labor Force-attempts to look for work (allocation flag),,int
cps/basic/apr,A_LKFTPT,Labor Force-full-time/part-time,,int
cps/basic/apr,AXJOBABS,Labor Force-absence from job (allocation flag),,int
cps/basic/apr,AXHRSCHK,Labor Force-interviewer check (allocation flag),,int
cps/basic/apr,AXLINENO,Demographic-line number (allocation flag),,int
cps/basic/apr,H_METSTA,Geography-metropolitan/non-metropolitan,,int
cps/basic/apr,HXOCCINT,Household-unit occupancy (allocation flag),,int
cps/basic/apr,A_SEX,Demographic-sex,,int
cps/basic/apr,A_PFNOCD,Demographic-# of children < 18,,int
cps/basic/apr,H_DAYCMP,Household-day interview complete,,int
cps/basic/apr,HG_MSSZ,Geography-MSA size,,int
cps/basic/apr,H_FAMINC,Household-family income,,int
cps/basic/apr,AXHRSPAY,Earnings-hourly earnings (allocation flag),,int
cps/basic/apr,A_PFSIZE,Demographic-size,,int
cps/basic/apr,H_MONTH,Household-month of survey,,int
cps/basic/apr,A_DTOCC,Indus.&Occ.-detailed occupation code,,int
cps/basic/apr,HXTIMINT,Household-time of interview (allocation flag),,int
cps/basic/apr,A_WHYNA,Labor Force-why not,,int
cps/basic/apr,AXAVAIL,Labor Force-available job (allocation flag),,int
cps/basic/apr,A_AG_NA,"Indus.&Occ.-agriculture, non-agriculture",,int
cps/basic/apr,AXLKWK,Labor Force-looking for work (allocation flag),,int
cps/basic/apr,AXENRLW,School Enrollment-enrolled/attend a school(allocation flag),,int
cps/basic/apr,A_ERNEL,Earnings-eligibility,,int
cps/basic/apr,H_CPSCHK,Household-interviewer check item,,int
cps/basic/apr,A_PFPRCD,Demographic-children < 18 in primary family,,int
cps/basic/apr,H_TELAVL,Household-telephone available,,int
cps/basic/apr,A_WKSTAT,Labor Force-full/part-time status,,int
cps/basic/apr,HXAREASN,Household-reason (allocation flag),,int
cps/basic/apr,A_MTHD6,Labor Force-nothing,,int
cps/basic/apr,A_MTHD5,"Labor Force-placed, answered ADS",,int
cps/basic/apr,A_LFESF,"Labor Force-labor force, earner status (female)",,int
cps/basic/apr,A_FAMREL,Demographic-family relationship,,int
cps/basic/apr,A_PFNOEM,Labor Force-number of employed,,int
cps/basic/apr,A_MTHD7,Labor Force-other,,int
cps/basic/apr,A_MTHD2,Labor Force-private emp. agency,,int
cps/basic/apr,HXTELINT,Household-telephone interview acceptable (allocation flag),,int
cps/basic/apr,A_MTHD1,Labor Force-public employment agency,,int
cps/basic/apr,A_LFESM,"Labor Force-labor force, earner status (male)",,int
cps/basic/apr,A_MTHD4,Labor Force-friends/relatives,,int
cps/basic/apr,HXRESPNM,Household-line no. hhld resp. (allocation flag),,int
cps/basic/apr,A_MTHD3,Labor Force-employer,,int
cps/basic/apr,A_CIVLF,Labor Force-civilian labor force,,int
cps/basic/apr,A_ABSREA,"Labor Force-reasons for absence, pay status",,int
cps/basic/apr,A_LOSTIM,"Labor Force-lost time, time off from work",,int
cps/basic/apr,A_WANTJB,Labor Force-want regular job,,int
cps/basic/apr,A_RECTYP,Demographic-record type,,int
cps/basic/apr,A_EARNRT,Earnings-interviewer check item,,int
cps/basic/apr,HG_MSAC,Geography-FIPS code,,int
cps/basic/apr,HXTYPEBC,Household-type b/c (allocation flag),,int
cps/basic/apr,HG_MSAR,Geography-rank,,int
cps/basic/apr,A_PFNOUN,Labor Force-number of unemployed,,int
cps/basic/apr,A_RRP,Demographic-relationship to reference person,,int
cps/basic/apr,A_WHYLK,Labor Force-reasons why looking for work,,int
cps/basic/apr,A_FTPT,School Enrollment-f/t or p/t student,,int
cps/basic/apr,AXORIGIN,Demographic-origin (allocation flag),,int
cps/basic/apr,A_PFWS,Labor Force-wage and salary,,int
cps/basic/apr,AXWHYLK,Labor Force-reasons why looking for work (allocation flag),,int
cps/basic/apr,A_LFSR,Labor Force-labor force status recode,,int
cps/basic/apr,HG_MSAS,Geography-MSA status,,int
cps/basic/apr,AXNLFLJ,Labor Force-work for pay (allocation flag),,int
cps/basic/apr,A_FTREAS,Labor Force-hours usually worked/week,,int
cps/basic/apr,AXOCC,Indus.&Occ.-occupation (allocation flag),,int
cps/basic/apr,A_EXPRRP,Demographic-expanded relationship code,,int
cps/basic/apr,A_INTEND,Labor Force-intend to look for work,,int
cps/basic/apr,H_SEASON,Household-seasonal status,,int
cps/basic/apr,H_STATUS,Household-status change,,int
cps/basic/apr,H_TYPE,Household-household type,,int
cps/basic/apr,AXWHENLJ,Labor Force-last work f/t job 2+ weeks (allocation flag),,int
cps/basic/apr,AXSPOUSE,Demographic-spouse's line number (allocation flag),,int
cps/basic/apr,AXAGE,Demographic-age (allocation flag),,int
cps/basic/apr,AXHRLYWK,Earnings-hourly wage (allocation flag),,int
cps/basic/apr,HXTENURE,Household-tenure (allocation flag),,int
cps/basic/apr,A_MARITL,Demographic-marital status,,int
cps/basic/apr,A_PFNOER,Earnings-number of earners,,int
cps/basic/apr,A_REORGN,Demographic-origin,,int
cps/basic/apr,A_IND,Indus.&Occ.-(main job)industry code,,int
cps/basic/apr,HG_PMSA,Geography-PMSA rank,,int
cps/basic/apr,A_WHYLFT,Labor Force-reason for leaving,,int
cps/basic/apr,A_ERNLWT,Weight-earnings/not in labor force weight,,int
cps/basic/apr,HXDAYCMP,Household-day interview complete (allocation flag),,int
cps/basic/apr,A_LINENO,Demographic-line number,,int
cps/basic/apr,A_JOBABS,Labor Force-absence from job,,int
cps/basic/apr,AXMARITL,Demographic-marital status (allocation flag),,int
cps/basic/apr,HXCPSCHK,Household-interviewer check item (allocation flag),,int
cps/basic/apr,AXLKFTPT,Labor Force-full-time/part-time (allocation flag),,int
cps/basic/apr,AXSEX,Demographic-sex (allocation flag),,int
cps/basic/apr,H_NUMFAM,Household-number of families,,int
cps/basic/apr,A_ENRCHK,School Enrollment-interviewer check item,,int
cps/basic/apr,A_AVAIL,Labor Force-available job,,int
cps/basic/apr,A_NAGPWS,Labor Force-non-agricultural private wage & salary workers,,int
cps/basic/apr,H_PRSCNT,Household-number of contacts,,int
cps/basic/apr,H_NUMPER,Household-number of persons,,int
cps/basic/apr,A_EMPHRS,"Labor Force-reasons, hours",,int
cps/basic/apr,HXARACE,Household-race (allocation flag),,int
cps/basic/apr,AXUNCOV,Earnings-union/employee assoc. contract (allocation flag),,int
cps/basic/apr,A_NLFROT,Labor Force-interviewer check item,,int
cps/basic/apr,H_AREASN,Household-reason,,int
cps/basic/apr,A_DTCLWK,Indus.&Occ.-detailed class of worker,,int
cps/basic/apr,H_INDVCC,Geography-individual central city identifier,,int
cps/basic/apr,A_FAMTYP,Demographic-family type,,int
cps/basic/apr,H_OCCINT,Household-unit occupancy,,int
cps/basic/apr,HXFAMINC,Household-family income (allocation flag),,int
cps/basic/apr,H_HHWGT,Household-household weight,,int
cps/basic/apr,A_WERNTF,Earnings-weekly earnings top code flag,,int
cps/basic/apr,A_WKSLK,"Labor Force-# weeks looking for work, laid off",,int
cps/basic/apr,AXWANTJB,Labor Force-want regular job (allocation flag),,int
cps/basic/apr,A_FNLWGT,Weight-adults final weight,,int
cps/basic/apr,A_WERNTP,Earnings-weekly earnings top code,,int
cps/basic/apr,A_USLHRS,Earnings-hrs/week worked,,int
cps/basic/apr,AXOVRTIM,Labor Force-overtime worked (allocation flag),,int
cps/basic/apr,AXWHYABS,Labor Force-reason for absence (allocation flag),,int
cps/basic/apr,A_VET,Demographic-veteran status,,int
cps/basic/apr,A_NLFLJ,Labor Force-work for pay,,int
cps/basic/apr,A_FMEWGT,Weight-family earnings weight,,int
cps/basic/apr,H_TELHHD,Household-telephone in household,,int
cps/basic/apr,A_PTREA,Labor Force-reasons,,int
cps/basic/apr,H_ARACE,Household-Race for Type A noninterviews,,int
cps/basic/apr,H_TELCNT,Household-number of contacts,,int
cps/basic/apr,A_IOELIG,Indus.&Occ.-I&O eligibility,,int
cps/basic/apr,AXHRS,Labor Force-total hours worked (allocation flag),,int
cps/basic/apr,A_PAYABS,Labor Force-paid absences,,int
cps/basic/apr,H_HHNUM,Household-household number,,int
cps/basic/apr,A_WHYABS,Labor Force-reason for absence,,int
cps/basic/apr,A_RCOW,Labor Force-class of worker recode,,int
cps/basic/apr,A_WHYNL8,Labor Force-school/training,,int
cps/basic/apr,A_WHYNL9,Labor Force-ill health,,int
cps/basic/apr,A_WHYNLB,Labor Force-don't know,,int
cps/basic/apr,AXGRSWK,Earnings-weekly earnings (allocation flag),,int
cps/basic/apr,A_WHYNLA,Labor Force-other,,int
cps/basic/apr,A_MJIND,Ind.&Occ.-major industry code,,int
cps/basic/apr,A_WHYNL2,Labor Force-couldn't find work,,int
cps/basic/apr,A_WHYNL3,Labor Force-lacks schooling,,int
cps/basic/apr,A_WHYNL1,Labor Force-no work available,,int
cps/basic/apr,A_WHYNL6,Labor Force-child care,,int
cps/basic/apr,A_WHYNL7,Labor Force-family responsibilities,,int
cps/basic/apr,A_WHYNL4,Labor Force-age,,int
cps/basic/apr,A_WHYNL5,Labor Force-personal handicap,,int
cps/basic/apr,A_MAJACT,Labor Force-activities last week,,int
